classifier_name,dataset_name,accuracy
PrevWeek,27182,"0,845589211647173"
PrevWeek,3718,"0,148897292491717"
PrevWeek,38791,"1,00000045138517"
PrevWeek,16533,"0,170037444157596"
PrevWeek,38288,"0,205882853514372"
PrevWeek,25867,"0,295955998889654"
PrevWeek,36469,"0,130514714889803"
PrevWeek,46535,"0,205882807079726"
PrevWeek,28639,"0,111213747668188"
PrevWeek,543,"0,214155028168255"
PrevWeek,26886,"0,223346180591579"
PrevWeek,34440,"0,45220640109928"
PrevWeek,34887,"0,177389898531483"
PrevWeek,44193,"1,00000024745974"
PrevWeek,20283,"0,212316839570944"
PrevWeek,11017,"0,169118615124162"
PrevWeek,34737,"0,22886035339395"
PrevWeek,37606,"0,12316209359564"
PrevWeek,38697,"0,297794672261434"
PrevWeek,15310,"0,25551504640632"
PrevWeek,20366,"0,142464091614769"
PrevWeek,30475,"0,290441726197697"
PrevWeek,37707,"0,219669672428843"
PrevWeek,768,"1,00000011768416"
PrevWeek,10470,"0,238971101921064"
PrevWeek,6770,"0,171875816434738"
PrevWeek,12411,"0,181986137140372"
PrevWeek,6557,"0,261030169075892"
PrevWeek,471,"0,214154600720662"
PrevWeek,23702,"0,187500080916187"
PrevWeek,3693,"0,20496381241992"
PrevWeek,40145,"0,145221468726229"
PrevWeek,38189,"0,13694893255756"
PrevWeek,43848,"0,241728681547529"
PrevWeek,21721,"0,173714035537175"
PrevWeek,23438,"0,35845681352893"
PrevWeek,29253,"0,185662026589336"
PrevWeek,24995,"0,253677364773188"
PrevWeek,42236,"0,092831572940358"
PrevWeek,40599,"1,00000078043628"
PrevWeek,47636,"0,18198601118158"
PrevWeek,7998,"0,270221301557539"
PrevWeek,47573,"0,157169193689161"
PrevWeek,6414,"0,167280262324862"
PrevWeek,12004,"0,171875436166324"
PrevWeek,44089,"0,204963928551291"
PrevWeek,5734,"0,134191258448164"
PrevWeek,41080,"0,286764922179167"
PrevWeek,26511,"0,170036995281887"
PrevWeek,20555,"1,00000075763081"
PrevWeek,6434,"0,170037103801227"
PrevWeek,28660,"0,275735536031799"
PrevWeek,40112,"1,00000062802072"
PrevWeek,46287,"0,162684301490805"
PrevWeek,44566,"0,161764829236791"
PrevWeek,28512,"0,181985519837587"
PrevWeek,32480,"1,00000077061873"
PrevWeek,16138,"1,00000071641746"
PrevWeek,37305,"0,216911840804799"
PrevWeek,15046,"0,551471349225623"
PrevWeek,3475,"0,20220665396948"
PrevWeek,21465,"0,163603688345158"
PrevWeek,35623,"0,13694937748344"
PrevWeek,43155,"0,174632875636024"
PrevWeek,11183,"0,316176511023559"
PrevWeek,7936,"0,225184564433618"
PrevWeek,5704,"0,166360731117985"
PrevWeek,8385,"0,19669165160931"
PrevWeek,38502,"0,128677463946307"
PrevWeek,17026,"0,150736018227298"
PrevWeek,34730,"0,152573666338246"
PrevWeek,48812,"0,256433868785908"
PrevWeek,26282,"0,182905239419024"
PrevWeek,46523,"0,113051686664145"
PrevWeek,16784,"0,162684298660582"
PrevWeek,22192,"1,00000010066333"
PrevWeek,35171,"0,20404431515266"
PrevWeek,29494,"0,18658155811594"
PrevWeek,5937,"0,190258119830239"
PrevWeek,141,"1,00000092890896"
PrevWeek,3406,"0,170956320833303"
PrevWeek,32236,"1,00000084220177"
PrevWeek,15742,"0,181985755035639"
PrevWeek,34231,"0,123162211183689"
PrevWeek,18166,"0,269301950603558"
PrevWeek,42697,"0,136030056300728"
PrevWeek,25237,"0,159007395042229"
PrevWeek,20137,"0,329044630658958"
PrevWeek,10541,"0,382353477483943"
PrevWeek,47641,"0,170037081815529"
PrevWeek,4357,"1,00000025859965"
PrevWeek,40021,"0,27205980493106"
PrevWeek,1222,"0,171875078534381"
PrevWeek,7020,"0,13051538374744"
PrevWeek,35890,"0,147978520665661"
PrevWeek,29841,"0,262868515933419"
PrevWeek,26424,"0,182905123022652"
PrevWeek,38804,"0,241728924761221"
PrevWeek,15827,"0,300552241511768"
PrevWeek,12471,"0,163603921207078"
PrevWeek,30307,"0,225183858678805"
PrevWeek,13105,"0,134191651877922"
PrevWeek,29707,"0,169118596741975"
PrevWeek,31674,"0,218750902257861"
PrevWeek,23361,"0,128677077628918"
PrevWeek,7092,"0,361214213457966"
PrevWeek,10298,"0,146140680783462"
PrevWeek,45140,"0,138787427518303"
PrevWeek,46488,"0,154412452107394"
PrevWeek,47273,"0,154412308389293"
PrevWeek,24342,"0,130515106803885"
PrevWeek,19237,"0,135110472214714"
PrevWeek,7363,"0,148897965514858"
PrevWeek,43292,"0,242647670272261"
PrevWeek,15130,"0,169118537977717"
PrevWeek,40034,"0,147059451425364"
PrevWeek,39278,"0,272978490093186"
PrevWeek,34650,"0,155331714364685"
PrevWeek,48350,"0,187500334035905"
PrevWeek,7223,"0,199449410587735"
PrevWeek,16481,"0,256434131627254"
PrevWeek,45712,"0,147058920662297"
PrevWeek,30046,"0,22886083244098"
PrevWeek,12959,"0,165441408277122"
PrevWeek,25551,"0,208640193040596"
PrevWeek,15016,"0,261029993080234"
PrevWeek,37160,"0,170037246325991"
PrevWeek,27966,"0,264706686528364"
PrevWeek,24843,"0,238971389663978"
PrevWeek,17628,"1,00000057738878"
PrevWeek,17276,"0,136949322781943"
PrevWeek,19227,"0,179228686729995"
PrevWeek,8427,"0,195772246070936"
PrevWeek,42462,"0,223346031024638"
PrevWeek,5175,"0,217831706453398"
PrevWeek,22918,"0,143383274088363"
PrevWeek,37992,"0,11121419944559"
PrevWeek,33681,"0,185662179004796"
PrevWeek,9225,"0,206801768605894"
PrevWeek,49800,"0,171875484780054"
PrevWeek,15157,"0,16544192981824"
PrevWeek,2134,"0,175551707868188"
PrevWeek,18045,"0,146140541419006"
PrevWeek,25418,"0,824449476706335"
PrevWeek,28876,"0,151654709716554"
PrevWeek,27861,"0,150735841193362"
PrevWeek,9971,"0,113970865671869"
PrevWeek,36952,"0,237133194740626"
PrevWeek,10175,"0,39889801158529"
PrevWeek,36865,"0,228860542596293"
PrevWeek,20236,"0,168199301813151"
PrevWeek,42990,"0,13878715481221"
PrevWeek,628,"0,232537023695076"
PrevWeek,42973,"0,145220758025471"
PrevWeek,5952,"0,147059220400183"
PrevWeek,26899,"0,281250463989368"
PrevWeek,49650,"0,180147317892517"
PrevWeek,16003,"0,194853913094331"
PrevWeek,25013,"0,217831644477338"
PrevWeek,16684,"0,204044533778739"
PrevWeek,6232,"0,266544539567655"
PrevWeek,48107,"0,870404940154523"
PrevWeek,8734,"0,2509199208862"
PrevWeek,27171,"0,147059618184396"
PrevWeek,38462,"0,1406259212481"
PrevWeek,2112,"0,127758245898202"
PrevWeek,36499,"0,170956373376552"
PrevWeek,46353,"0,464154650892982"
PrevWeek,47464,"0,321691360018753"
PrevWeek,13174,"0,280331138981438"
PrevWeek,45452,"0,190258099184926"
PrevWeek,3771,"0,132353241688123"
PrevWeek,33575,"0,343750279019243"
PrevWeek,18339,"0,18290472753691"
PrevWeek,10274,"0,125919780892038"
PrevWeek,3170,"0,154412402954311"
PrevWeek,12295,"0,114890058249682"
PrevWeek,48296,"1,00000005110314"
PrevWeek,13668,"0,134192115439699"
PrevWeek,11588,"0,143383230753146"
PrevWeek,43872,"0,147059569498671"
PrevWeek,26928,"0,130515339942464"
PrevWeek,38913,"0,214154485768416"
PrevWeek,38716,"0,440258034839866"
PrevWeek,37725,"0,156250880453136"
PrevWeek,40515,"0,197611050068224"
PrevWeek,8836,"0,289522277281733"
PrevWeek,26472,"1,00000032204264"
PrevWeek,13989,"0,659927267740009"
PrevWeek,17720,"0,147978777990012"
PrevWeek,1020,"0,634192092969382"
PrevWeek,18124,"0,156250256845067"
PrevWeek,18345,"0,0882354181203307"
PrevWeek,35359,"0,184742967908898"
PrevWeek,32577,"1,00000016630862"
